XUp10,YUp10,XDn10,YDn10,XUp5,YUp5,XDn5,YDn5,XBis,YBis
5.250,5.775,5.250,4.725,5.250,5.513,5.250,4.988,5.250,5.250
5.300,5.830,5.300,4.770,5.300,5.565,5.300,5.035,5.300,5.300
5.350,5.885,5.350,4.815,5.350,5.618,5.350,5.083,5.350,5.350
5.400,5.940,5.400,4.860,5.400,5.670,5.400,5.130,5.400,5.400
5.450,5.995,5.450,4.905,5.450,5.723,5.450,5.178,5.450,5.450
5.500,6.050,5.500,4.950,5.500,5.775,5.500,5.225,5.500,5.500
5.550,6.105,5.550,4.995,5.550,5.828,5.550,5.273,5.550,5.550
5.600,6.160,5.600,5.040,5.600,5.880,5.600,5.320,5.600,5.600
5.650,6.215,5.650,5.085,5.650,5.933,5.650,5.368,5.650,5.650
5.700,6.270,5.700,5.130,5.700,5.985,5.700,5.415,5.700,5.700
5.750,6.325,5.750,5.175,5.750,6.038,5.750,5.463,5.750,5.750
5.800,6.380,5.800,5.220,5.800,6.090,5.800,5.510,5.800,5.800
5.850,6.435,5.850,5.265,5.850,6.143,5.850,5.558,5.850,5.850
5.900,6.490,5.900,5.310,5.900,6.195,5.900,5.605,5.900,5.900
5.950,6.545,5.950,5.355,5.950,6.248,5.950,5.653,5.950,5.950
6.000,6.600,6.000,5.400,6.000,6.300,6.000,5.700,6.000,6.000
6.050,6.655,6.050,5.445,6.050,6.353,6.050,5.748,6.050,6.050
6.100,6.710,6.100,5.490,6.100,6.405,6.100,5.795,6.100,6.100
6.150,6.765,6.150,5.535,6.150,6.458,6.150,5.843,6.150,6.150
6.200,6.820,6.200,5.580,6.200,6.510,6.200,5.890,6.200,6.200
6.250,6.875,6.250,5.625,6.250,6.563,6.250,5.938,6.250,6.250
6.300,6.930,6.300,5.670,6.300,6.615,6.300,5.985,6.300,6.300
6.350,6.985,6.350,5.715,6.350,6.668,6.350,6.033,6.350,6.350
6.400,7.040,6.400,5.760,6.400,6.720,6.400,6.080,6.400,6.400
6.450,7.095,6.450,5.805,6.450,6.773,6.450,6.128,6.450,6.450
6.500,7.150,6.500,5.850,6.500,6.825,6.500,6.175,6.500,6.500
6.550,7.205,6.550,5.895,6.550,6.878,6.550,6.223,6.550,6.550
6.600,7.260,6.600,5.940,6.600,6.930,6.600,6.270,6.600,6.600
6.650,7.315,6.650,5.985,6.650,6.983,6.650,6.318,6.650,6.650
6.700,7.370,6.700,6.030,6.700,7.035,6.700,6.365,6.700,6.700
6.750,7.425,6.750,6.075,6.750,7.088,6.750,6.413,6.750,6.750
6.800,7.480,6.800,6.120,6.800,7.140,6.800,6.460,6.800,6.800
6.850,7.535,6.850,6.165,6.850,7.193,6.850,6.508,6.850,6.850
6.900,7.590,6.900,6.210,6.900,7.245,6.900,6.555,6.900,6.900
6.950,7.645,6.950,6.255,6.950,7.298,6.950,6.603,6.950,6.950
7.000,7.700,7.000,6.300,7.000,7.350,7.000,6.650,7.000,7.000
